# Name : VHPS_140_140_3.5_T3
# Stage: 1
# Units: length:mm angle:deg 
id,x,y,z
351,369.4746,68.7658,-2.9616
352,375.6404,68.8916,-2.7102
353,381.8363,69.0191,-2.4991
354,388.0791,69.1539,-2.3623
355,394.1973,69.2804,-1.9431
356,400.4481,69.4221,-1.7758
357,406.6221,69.5589,-1.4284
358,412.7873,69.7820,-1.0402
359,419.0166,69.7663,-0.7664
360,-363.6604,49.4262,-29.1506
361,-348.0413,49.7786,-32.9177
362,-342.7916,49.8118,-31.4033
363,-337.5478,49.9141,-30.8832
364,-332.3014,50.0117,-30.5849
365,-327.0496,50.1139,-30.5843
366,-321.7973,50.2167,-29.9175
367,-316.5406,50.2804,-29.5224
368,-311.2725,50.3779,-29.6478
369,-306.0151,50.4402,-28.8360
370,-300.7484,50.5622,-28.4060
371,-295.4739,50.6335,-28.1742
372,-290.1917,50.7411,-28.0411
373,-284.9064,50.8239,-27.8492
374,-279.6018,50.9918,-28.0430
375,-274.3205,51.0391,-27.4695
376,-269.0026,51.1565,-27.6917
377,-263.7245,51.2685,-26.8820
378,-258.4189,51.2949,-26.6206
379,-253.0609,51.6297,-27.2265
380,-247.7760,51.6254,-26.3914
381,-242.4518,51.7035,-26.1888
382,-237.1289,51.7123,-25.8948
383,-231.8238,51.7881,-25.2631
384,-226.4657,51.9283,-25.3467
385,-221.1212,52.0016,-25.1554
386,-215.7726,52.1309,-24.9440
387,-210.4814,52.1717,-23.9676
388,-205.0655,52.3190,-24.4600
389,-199.7048,52.4738,-24.2091
390,-194.3322,52.5428,-24.0384
391,-188.9528,52.6085,-23.8815
392,-183.5808,52.7139,-23.5887
393,-178.1900,52.8586,-23.4285
394,-172.8284,52.9491,-22.9416
395,-167.3925,53.0894,-23.0985
396,-162.0139,53.1462,-22.6803
397,-156.5808,53.2825,-22.6891
398,-151.1717,53.4050,-22.4392
399,-145.7563,53.4719,-22.2001
400,-140.3264,53.5912,-22.0271
401,-134.8957,53.7194,-21.8142
402,-129.4504,53.9755,-21.6600
403,-124.0293,53.9950,-21.2956
404,-118.5869,54.0153,-21.0479
405,-113.1234,54.0740,-20.9037
406,-107.6671,54.1735,-20.6655
407,-102.2415,54.2371,-20.1889
408,-96.7260,54.3470,-20.2586
409,-91.2456,54.4480,-20.0577
410,-85.7590,54.5963,-19.8533
